FIPStxt,State,Area_Name,POP_ESTIMATE_2019
01000,AL,Alabama,4903185
01001,AL,Autauga County,55869
01003,AL,Baldwin County,223234
01005,AL,Barbour County,24686
01007,AL,Bibb County,22394
01009,AL,Blount County,57826
01011,AL,Bullock County,10101
01013,AL,Butler County,19448
01015,AL,Calhoun County,113605
01017,AL,Chambers County,33254
01019,AL,Cherokee County,26196
01021,AL,Chilton County,44428
01023,AL,Choctaw County,12589
01025,AL,Clarke County,23622
01027,AL,Clay County,13235
01029,AL,Cleburne County,14910
01031,AL,Coffee County,52342
01033,AL,Colbert County,55241
01035,AL,Conecuh County,12067
01037,AL,Coosa County,10663
01039,AL,Covington County,37049
01041,AL,Crenshaw County,13772
01043,AL,Cullman County,83768
01045,AL,Dale County,49172
01047,AL,Dallas County,37196
01049,AL,DeKalb County,71513
01051,AL,Elmore County,81209
01053,AL,Escambia County,36633
01055,AL,Etowah County,102268
01057,AL,Fayette County,16302
01059,AL,Franklin County,31362
01061,AL,Geneva County,26271
01063,AL,Greene County,8111
01065,AL,Hale County,14651
01067,AL,Henry County,17205
01069,AL,Houston County,105882
01071,AL,Jackson County,51626
01073,AL,Jefferson County,658573
01075,AL,Lamar County,13805
01077,AL,Lauderdale County,92729
01079,AL,Lawrence County,32924
01081,AL,Lee County,164542
01083,AL,Limestone County,98915
01085,AL,Lowndes County,9726
01087,AL,Macon County,18068
01089,AL,Madison County,372909
01091,AL,Marengo County,18863
01093,AL,Marion County,29709
01095,AL,Marshall County,96774
01097,AL,Mobile County,413210
01099,AL,Monroe County,20733
01101,AL,Montgomery County,226486
01103,AL,Morgan County,119679
01105,AL,Perry County,8923
01107,AL,Pickens County,19930
01109,AL,Pike County,33114
01111,AL,Randolph County,22722
01113,AL,Russell County,57961
01115,AL,St. Clair County,89512
01117,AL,Shelby County,217702
01119,AL,Sumter County,12427
01121,AL,Talladega County,79978
01123,AL,Tallapoosa County,40367
01125,AL,Tuscaloosa County,209355
01127,AL,Walker County,63521
01129,AL,Washington County,16326
01131,AL,Wilcox County,10373
01133,AL,Winston County,23629
02000,AK,Alaska,731545
02013,AK,Aleutians East Borough,3337
02016,AK,Aleutians West Census Area,5634
02020,AK,Anchorage Municipality,288000
02050,AK,Bethel Census Area,18386
02060,AK,Bristol Bay Borough,836
02068,AK,Denali Borough,2097
02070,AK,Dillingham Census Area,4916
02090,AK,Fairbanks North Star Borough,96849
02100,AK,Haines Borough,2530
02105,AK,Hoonah-Angoon Census Area,2148
02110,AK,Juneau City and Borough,31974
02122,AK,Kenai Peninsula Borough,58708
02130,AK,Ketchikan Gateway Borough,13901
02150,AK,Kodiak Island Borough,12998
02158,AK,Kusilvak Census Area,8314
02164,AK,Lake and Peninsula Borough,1592
02170,AK,Matanuska-Susitna Borough,108317
02180,AK,Nome Census Area,10004
02185,AK,North Slope Borough,9832
02188,AK,Northwest Arctic Borough,7621
02195,AK,Petersburg Borough,3266
02198,AK,Prince of Wales-Hyder Census Area,6203
02220,AK,Sitka City and Borough,8493
02230,AK,Skagway Municipality,1183
02240,AK,Southeast Fairbanks Census Area,6893
02261,AK,Valdez-Cordova Census Area,9202
02275,AK,Wrangell City and Borough,2502
02282,AK,Yakutat City and Borough,579
02290,AK,Yukon-Koyukuk Census Area,5230
04000,AZ,Arizona,7278717
04001,AZ,Apache County,71887
04003,AZ,Cochise County,125922
04005,AZ,Coconino County,143476
04007,AZ,Gila County,54018
04009,AZ,Graham County,38837
04011,AZ,Greenlee County,9498
04012,AZ,La Paz County,21108
04013,AZ,Maricopa County,4485414
04015,AZ,Mohave County,212181
04017,AZ,Navajo County,110924
04019,AZ,Pima County,1047279
04021,AZ,Pinal County,462789
04023,AZ,Santa Cruz County,46498
04025,AZ,Yavapai County,235099
04027,AZ,Yuma County,213787
05000,AR,Arkansas,3017804
05001,AR,Arkansas County,17486
05003,AR,Ashley County,19657
05005,AR,Baxter County,41932
05007,AR,Benton County,279141
05009,AR,Boone County,37432
05011,AR,Bradley County,10763
05013,AR,Calhoun County,5189
05015,AR,Carroll County,28380
05017,AR,Chicot County,10118
05019,AR,Clark County,22320
05021,AR,Clay County,14551
05023,AR,Cleburne County,24919
05025,AR,Cleveland County,7956
05027,AR,Columbia County,23457
05029,AR,Conway County,20846
05031,AR,Craighead County,110332
05033,AR,Crawford County,63257
05035,AR,Crittenden County,47955
05037,AR,Cross County,16419
05039,AR,Dallas County,7009
05041,AR,Desha County,11361
05043,AR,Drew County,18219
05045,AR,Faulkner County,126007
05047,AR,Franklin County,17715
05049,AR,Fulton County,12477
05051,AR,Garland County,99386
05053,AR,Grant County,18265
05055,AR,Greene County,45325
05057,AR,Hempstead County,21532
05059,AR,Hot Spring County,33771
05061,AR,Howard County,13202
05063,AR,Independence County,37825
05065,AR,Izard County,13629
05067,AR,Jackson County,16719
05069,AR,Jefferson County,66824
05071,AR,Johnson County,26578
05073,AR,Lafayette County,6624
05075,AR,Lawrence County,16406
05077,AR,Lee County,8857
05079,AR,Lincoln County,13024
05081,AR,Little River County,12259
05083,AR,Logan County,21466
05085,AR,Lonoke County,73309
05087,AR,Madison County,16576
05089,AR,Marion County,16694
05091,AR,Miller County,43257
05093,AR,Mississippi County,40651
05095,AR,Monroe County,6701
05097,AR,Montgomery County,8986
05099,AR,Nevada County,8252
05101,AR,Newton County,7753
05103,AR,Ouachita County,23382
05105,AR,Perry County,10455
05107,AR,Phillips County,17782
05109,AR,Pike County,10718
05111,AR,Poinsett County,23528
05113,AR,Polk County,19964
05115,AR,Pope County,64072
05117,AR,Prairie County,8062
05119,AR,Pulaski County,391911
05121,AR,Randolph County,17958
05123,AR,St. Francis County,24994
05125,AR,Saline County,122437
05127,AR,Scott County,10281
05129,AR,Searcy County,7881
05131,AR,Sebastian County,127827
05133,AR,Sevier County,17007
05135,AR,Sharp County,17442
05137,AR,Stone County,12506
05139,AR,Union County,38682
05141,AR,Van Buren County,16545
05143,AR,Washington County,239187
05145,AR,White County,78753
05147,AR,Woodruff County,6320
05149,AR,Yell County,21341
06000,CA,California,39512223
06001,CA,Alameda County,1671329
